When,PropDmg,PropDmg (adj. 2020),PropDmgPerCapita (adj. 2020),Magnitude
2010-08,,,,53.0
2010-09,1027000.0,1234530.9,0.23746,70.0
2010-10,500000.0,601037.44,0.11561,50.0
2011-05,,,,52.0
2011-06,1488600.0,1734653.84,0.33262,70.0
2011-07,406000.0,473108.59,0.09072,65.0
2011-08,13000.0,15148.79,0.0029,63.0
2011-09,,,,54.0
2011-10,2000.0,2330.58,0.00045,
2012-07,30500.0,34820.81,0.00666,67.0
2012-08,,,,70.0
2012-09,,,,52.0
2012-10,5000.0,5708.33,0.0011,50.0
2012-11,45000.0,51374.97,0.00982,
2013-02,10000.0,11251.85,0.00214,
2013-05,500.0,562.59,0.0001,55.0
2013-06,10000.0,11251.85,0.00214,61.0
2013-07,,,,52.0
2013-08,30000.0,33755.54,0.00644,61.0
2013-09,1000.0,1125.18,0.00022,60.0
2013-10,5000.0,5625.92,0.00108,55.0
2013-11,50000.0,56259.23,0.01072,70.0
2014-02,5000.0,5536.12,0.00106,
2014-05,50000.0,55361.17,0.01056,55.0
2014-06,5000.0,5536.12,0.00106,65.0
2014-08,,,,50.0
2014-09,175000.0,193764.11,0.03694,65.0
2014-10,50000.0,55361.17,0.01055,
2015-06,,,,50.0
2015-07,1000.0,1105.91,0.00022,55.0
2015-08,25000.0,27647.77,0.00528,60.0
2016-02,100000.0,107262.01,0.0205,
2016-03,35000.0,37541.7,0.00718,
2016-06,,,,50.0
2016-07,,,,63.0
2017-02,500.0,525.43,0.0001,65.0
2017-05,,,,55.0
2017-06,100500.0,105611.63,0.02026,65.0
2017-07,1000000.0,1050861.95,0.20166,78.0
2017-08,,,,50.0
2018-05,100000.0,104385.64,0.02014,70.0
2018-07,,,,55.0
2018-08,20000.0,20877.12,0.00402,60.0
2018-09,5000.0,5219.28,0.001,60.0
2019-02,25000.0,25286.04,0.00491,
2019-05,20000.0,20228.83,0.00392,61.0
2019-06,,,,55.0
2019-07,,,,61.0
2019-08,,,,50.0
2020-06,,,,64.0
2020-07,,,,56.0
2020-08,0.0,0.0,0.0,83.0
2020-11,,,,59.0
2021-04,,,,50.0
2021-06,,,,60.0
2021-07,,,,60.0
2021-08,,,,60.0
2021-09,,,,50.0
2021-10,,,,55.0
2022-03,,,,65.0
